,RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits,Envelope Material
123,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_41,1,0.85,1,0.01,0.05,0,0.1,0,undefined
124,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_42,1,0.85,1,0.01,0.05,0,0.1,0,undefined
125,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_43,1,0.85,1,0.01,0.05,0,0.1,0,undefined
126,Zone 4,YH090,703,06,0,A,Southside,1,PLAZA,Generic,10334.93,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
127,Zone 4,YH090,703,07,0,A,Southside,1,PLAZA,Generic,13100.47,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
128,Zone 4,YH090,703,05,0,A,Southside,1,PLAZA,Generic,8383.2,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
129,Zone 1,YH090,205,01,0,A,Northside,1,PLAZA,Generic,11577.8,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
130,Zone 1,YH090,205,19,0,A,Northside,1,PLAZA,Generic,9222.86,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
131,Zone 1,YH090,205,18,0,A,Northside,1,PLAZA,Generic,12325.15,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
132,Zone 1,YH090,205,02,0,A,Northside,1,PLAZA,Generic,9646.38,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
133,Zone 3,YH090,205,11,0,A,Northside,1,PLAZA,Generic,13971.37,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
134,Zone 3,YH090,205,17,0,A,Northside,1,PLAZA,Generic,16401.79,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
135,Zone 3,YH090,205,16,0,A,Northside,1,PLAZA,Generic,23241.65,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
136,Zone 4,YH090,703,01,0,A,Southside,1,PLAZA,Generic,8631.69,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
137,Zone 4,YH090,703,03,0,A,Southside,1,PLAZA,Generic,13125.76,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
138,Zone 5,YH090,704,02,0,A,Southside,1,LANDSCAPE,PARK,2441.36,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
139,Zone 5,YH090,704,03,0,A,Southside,1,LANDSCAPE,PARK,1291.8,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
140,Zone 5,YH090,704,04,0,A,Southside,1,LANDSCAPE,PARK,10915.63,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
141,Zone 5,YH090,704,14,0,A,Southside,1,LANDSCAPE,PARK,2146.91,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
142,Zone 5,YH090,704,11,0,A,Southside,1,LANDSCAPE,PARK,3084.16,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
143,Zone 5,YH090,704,15,0,A,Southside,1,LANDSCAPE,PARK,23951.43,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
